row_id,created_at,rating
1,1/17/25,4
2,1/25/25,9
3,1/22/25,6
4,1/14/25,0
5,1/14/25,5
6,1/23/25,0
7,1/7/25,6
8,1/28/25,5
9,1/28/25,2
10,2/1/25,10
11,1/17/25,7
12,1/14/25,9
13,1/11/25,9
14,1/8/25,0
15,1/21/25,9
16,1/28/25,3
17,2/5/25,3
18,1/10/25,0
19,1/31/25,1
20,1/20/25,5
21,1/15/25,3
22,1/23/25,8
23,1/27/25,5
24,1/12/25,0
25,1/16/25,6
26,1/28/25,4
27,1/11/25,1
28,2/3/25,8
29,1/18/25,4
30,1/7/25,2
31,1/17/25,1
32,1/24/25,4
33,1/15/25,9
34,1/14/25,4
35,1/27/25,1
36,1/29/25,2
37,1/29/25,10
38,1/29/25,2
39,1/7/25,9
40,2/2/25,5
41,1/20/25,5
42,2/3/25,2
43,1/23/25,1
44,2/4/25,2
45,1/29/25,9
46,2/4/25,10
47,1/7/25,8
48,1/25/25,6
49,1/16/25,3
50,2/4/25,1
51,1/15/25,4
52,1/15/25,3
53,2/5/25,2
54,2/6/25,10
55,2/3/25,10
56,1/8/25,9
57,1/28/25,6
58,1/22/25,3
59,1/25/25,7
60,1/8/25,10
61,1/26/25,10
62,2/1/25,6
63,1/26/25,1
64,1/11/25,8
65,1/11/25,5
66,1/14/25,0
67,1/26/25,7
68,1/7/25,10
69,2/4/25,1
70,1/11/25,2
71,1/20/25,5
72,1/10/25,5
73,1/23/25,9
74,1/23/25,10
75,2/5/25,3
76,1/19/25,6
77,1/27/25,2
78,2/6/25,0
79,1/27/25,6
80,1/14/25,1
81,2/5/25,7
82,2/5/25,3
83,1/26/25,4
84,1/16/25,0
85,2/1/25,7
86,2/5/25,2
87,1/15/25,2
88,2/2/25,3
89,1/22/25,1
90,1/19/25,9
91,1/8/25,8
92,2/6/25,6
93,1/31/25,0
94,1/19/25,5
95,1/23/25,8
96,1/18/25,7
97,1/25/25,10
98,1/13/25,2
99,1/18/25,3
100,1/25/25,1
101,2/17/25,0
102,1/25/25,2
103,1/22/25,9
104,1/14/25,0
105,1/14/25,2
106,1/23/25,6
107,1/7/25,8
108,1/28/25,2
109,1/28/25,3
110,2/1/25,5
111,1/17/25,10
112,1/14/25,8
113,1/11/25,10
114,1/8/25,2
115,1/21/25,7
116,1/28/25,9
117,2/5/25,8
118,1/10/25,6
119,1/31/25,9
120,1/20/25,7
121,1/15/25,8
122,1/23/25,10
123,1/27/25,6
124,1/12/25,5
125,1/16/25,10
126,1/28/25,10
127,1/11/25,10
128,2/3/25,10
129,1/18/25,5
130,1/7/25,3
131,2/1/25,0
132,2/5/25,1
133,1/15/25,3
134,2/2/25,2
135,1/22/25,5
136,1/19/25,8
137,1/8/25,1
138,2/6/25,6
139,1/31/25,1
140,1/19/25,5
141,1/23/25,5
142,1/18/25,2
143,1/25/25,9
144,1/13/25,7
145,1/18/25,0
146,1/25/25,5
147,2/17/25,4
148,4/25/25,9
149,1/22/25,6
150,1/14/25,3
151,4/14/25,9
152,1/23/25,1
153,1/7/25,2
154,1/28/25,10
155,1/28/25,3
156,2/1/25,7
157,1/17/25,0
158,1/14/25,4
159,1/11/25,8
160,1/8/25,4
161,3/21/25,6
162,1/28/25,9
163,2/5/25,7
164,1/15/25,4
165,2/2/25,5
166,1/22/25,0
167,1/19/25,7
168,1/8/25,5
169,2/6/25,0
170,1/31/25,8
171,1/19/25,6
172,1/23/25,5
173,1/18/25,5
174,1/25/25,10
175,1/13/25,1
176,1/18/25,4
177,1/25/25,8
178,2/17/25,8
179,4/25/25,9
180,1/22/25,6
181,1/14/25,3
182,4/14/25,8
183,1/23/25,8
184,1/7/25,1
185,1/28/25,2
186,1/28/25,8
187,2/1/25,10
188,1/17/25,1
189,1/14/25,8
190,1/11/25,7
191,1/8/25,8
192,1/15/25,8
193,1/23/25,4
194,1/27/25,7
195,1/12/25,10
196,1/16/25,0
197,1/28/25,2
198,1/11/25,2
199,2/3/25,8
200,1/18/25,0
201,1/7/25,7
202,2/1/25,1
203,2/5/25,8
204,1/15/25,8
205,2/2/25,7
206,1/22/25,7
207,1/19/25,7
208,1/8/25,7
209,2/6/25,6
210,1/31/25,1
211,1/19/25,4
212,1/23/25,2
213,1/18/25,5
214,1/25/25,0
215,1/13/25,10
216,1/18/25,5
217,1/25/25,10
218,2/17/25,10
219,4/25/25,5
220,1/22/25,8
221,1/14/25,0
222,4/14/25,5
223,1/23/25,9
224,1/7/25,1
225,1/28/25,9
226,1/28/25,3
227,2/1/25,9
228,1/17/25,4
229,1/14/25,8
230,1/11/25,1
231,1/8/25,1
232,3/21/25,8
233,1/28/25,8
234,2/5/25,3
235,1/23/25,2
236,1/7/25,7
237,1/28/25,2
238,1/28/25,10
239,2/1/25,7
240,1/17/25,0
241,1/14/25,0
242,1/11/25,9
243,1/8/25,10
244,1/21/25,0
245,1/28/25,2
